"fechaSen","fechaEjec","accion","precioEjec","regla"
"2016-07-29","2016-08-01","Compra",46.706475,"IF Williams.R.14 is (-205,-187] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-08-12","2016-08-15","Venta por banda superior",48.45356100375,"IF Comm.Chan.20.0.015 is (-8.3, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2016-09-01","2016-09-02","Compra",48.00471300125,"IF Comm.Chan.20.0.015 is (-65.8,-22.6] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2016-09-13","2016-09-14","Venta por banda inferior",45.9897375,"IF Williams.R.14 is (-180,-176] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2016-09-14","2016-09-15","Compra",45.9896875,"IF Comm.Chan.20.0.015 is [-Inf,-102] THEN  is 1; (supportSize=4; laplace=0.833333333333333)"
"2016-09-27","2016-09-28","Venta por banda superior",47.7253884975,"IF Comm.Chan.20.0.015 is (-8.3, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
