IF Comm.Chan.20.0.015 is (91.4, Inf] THEN  is -1; (supportSize=3; laplace=0.8)
IF Williams.R.14 is [-Inf,-204] THEN  is 1; (supportSize=3; laplace=0.8)
IF Comm.Chan.20.0.015 is (-10.4,17] THEN  is -1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (77.5,80.4] THEN  is -1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (80.4,91.4] THEN  is 1; (supportSize=2; laplace=0.75)
IF Williams.R.14 is (-148,-138] THEN  is -1; (supportSize=2; laplace=0.75)
IF Dif.Aroon.25 is [-Inf,-24] THEN  is 1; (supportSize=2; laplace=0.75)
IF Comm.Chan.20.0.015 is (25.3,63.6] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
IF Comm.Chan.20.0.015 is (63.6,77.5] THEN  is 1; (supportSize=1; laplace=0.666666666666667)
