"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-03-25","2014-03-26","Compra",39.8994989975,"IF cociente.Adj.Close.num.2.den.1 is (1.003,1.007] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-05-06","2014-05-07","Venta por banda superior",41.406223005,"IF cociente.Adj.Close.num.2.den.1 is (0.9939,0.9984] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2014-05-09","2014-05-12","Compra",41.9044989975,"IF cociente.Adj.Close.num.2.den.1 is (1.003,1.007] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-07-03","2014-07-04","Venta por banda superior",43.461075,"IF cociente.Open.num.2.den.0 is [-Inf,0.9836] THEN  is -1; (supportSize=2; laplace=0.75)"
"2014-07-11","2014-07-14","Compra",43.779172995,"IF cociente.Adj.Close.num.2.den.1 is (1.003,1.007] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-07-31","2014-07-31","Venta fin periodo",44.0895009975,"No aplica"
