"fechaSen","fechaEjec","accion","precioEjec","regla"
"2017-08-09","2017-08-10","Compra",51.227747995,"IF cociente.Open.num.1.den.0 is (1.001,1.004] THEN  is 1; (supportSize=7; laplace=0.888888888888889)"
"2017-10-16","2017-10-17","Venta por banda inferior",49.37625,"IF cociente.Open.num.2.den.0 is (0.988,0.998] THEN  is -1; (supportSize=6; laplace=0.875)"
"2017-10-17","2017-10-18","Compra",50.114977005,"IF cociente.Open.num.1.den.0 is (1.011, Inf] THEN  is 1; (supportSize=6; laplace=0.875)"
"2017-11-09","2017-11-10","Venta por banda inferior",48.5982009975,"IF cociente.Open.num.1.den.0 is (0.9918,0.9986] THEN  is -1; (supportSize=6; laplace=0.875)"
