Date,Open,High,Low,Close,Adj Close,Volume,Clase
2018-06-27,272.26001,273.869995,269.179993,269.350006,266.579468,105110700,0
2018-06-28,269.290009,271.75,268.48999,270.890015,268.103638,76650500,1
2018-06-29,272.119995,273.660004,271.149994,271.27999900000003,268.48962400000005,97592500,-1
2018-07-02,269.51001,272.040009,269.23999,271.859985,269.06366,63554800,1
2018-07-03,272.869995,272.980011,270.420013,270.899994,268.113525,42187100,-1
2018-07-05,272.170013,273.179993,270.959991,273.109985,270.30078100000003,56925900,1
2018-07-06,273.140015,275.839996,272.709991,275.420013,272.587036,66493700,0
2018-07-09,276.549988,277.959991,276.5,277.899994,275.041534,50550400,0
2018-07-10,278.410004,279.01001,278.079987,278.899994,276.031219,51966800,-1
2018-07-11,277.149994,278.040009,276.519989,276.859985,274.01223799999997,77054700,0
2018-07-12,278.27999900000003,279.429993,277.600006,279.369995,276.496399,60124700,0
2018-07-13,279.170013,279.929993,278.660004,279.589996,276.714142,48216000,0
2018-07-16,279.640015,279.799988,278.839996,279.339996,276.466705,48201000,0
2018-07-17,278.47000099999997,280.910004,278.410004,280.47000099999997,277.58511400000003,52315500,1
2018-07-18,280.559998,281.179993,280.059998,281.059998,278.169037,44593500,0
2018-07-19,280.309998,280.73999,279.459991,280.0,277.119934,61412100,0
2018-07-20,279.769989,280.480011,279.5,279.679993,276.803223,82337700,0
2018-07-23,279.450012,280.429993,279.059998,280.200012,277.31787099999997,47047600,0
2018-07-24,281.790009,282.559998,280.630005,281.609985,278.713348,68026900,0
2018-07-25,281.329987,284.369995,281.27999900000003,284.01001,281.088684,78882900,0
2018-07-26,283.200012,284.109985,283.089996,283.339996,280.425568,57919500,0
2018-07-27,283.709991,283.820007,280.380005,281.420013,278.52533,76768700,-1
2018-07-30,281.51001,281.690002,279.359985,279.950012,277.070465,63742500,0
2018-07-31,280.809998,282.019989,280.380005,281.329987,278.436218,68570500,0
2018-08-01,281.559998,282.130005,280.130005,280.859985,277.971069,53853300,0
2018-08-02,279.390015,282.579987,279.160004,282.390015,279.48538199999996,63426400,1
2018-08-03,282.52999900000003,283.660004,282.329987,283.600006,280.682892,53935400,0
2018-08-06,283.640015,284.98999,283.200012,284.640015,281.712189,39400900,0
2018-08-07,285.390015,286.01001,285.23999,285.579987,282.642517,43196600,0
2018-08-08,285.390015,285.910004,284.940002,285.459991,282.523743,42114600,0
2018-08-09,285.52999900000003,285.97000099999997,284.920013,285.070007,282.137787,35652400,-1
2018-08-10,283.450012,284.059998,282.359985,283.160004,280.247437,77076000,0
2018-08-13,283.47000099999997,284.160004,281.769989,282.100006,279.198334,65686900,0
2018-08-14,282.920013,284.170013,282.480011,283.899994,280.979797,43842000,1
2018-08-15,282.380005,282.540009,280.160004,281.77999900000003,278.881622,102925400,0
2018-08-16,283.399994,285.040009,283.359985,284.059998,281.13818399999997,69967900,0
2018-08-17,283.829987,285.559998,283.369995,285.059998,282.127899,65618500,0
2018-08-20,285.570007,285.97000099999997,285.059998,285.670013,282.731628,39807500,0
2018-08-21,286.25,287.309998,285.709991,286.339996,283.394714,67272000,-1
2018-08-22,285.880005,286.76001,285.579987,286.170013,283.226471,44993300,0
2018-08-23,285.97000099999997,286.940002,285.429993,285.790009,282.850403,49204900,1
2018-08-24,286.440002,287.670013,286.380005,287.51001,284.55267299999997,57487400,0
2018-08-27,288.859985,289.899994,288.679993,289.77999900000003,286.799347,57072400,0
2018-08-28,290.299988,290.420013,289.399994,289.920013,286.937897,46943500,0
2018-08-29,290.160004,291.73999,289.890015,291.480011,288.481842,61485500,0
2018-08-30,290.940002,291.359985,289.630005,290.299988,287.313965,61229500,-1
2018-08-31,289.839996,290.809998,289.290009,290.309998,287.323883,66140800,0
2018-09-04,289.839996,290.209991,288.679993,289.809998,286.82901,57594400,0
2018-09-05,289.410004,289.640015,287.890015,289.02999900000003,286.05703700000004,72452400,0
2018-09-06,289.149994,289.48999,287.0,288.160004,285.196014,65909900,0
2018-09-07,286.980011,288.700012,286.709991,287.600006,284.641754,73524800,1
2018-09-10,288.73999,289.040009,287.880005,288.100006,285.136597,50210900,0
2018-09-11,287.369995,289.549988,286.980011,289.049988,286.076813,50530500,0
2018-09-12,289.059998,289.799988,288.230011,289.119995,286.146118,59810800,0
2018-09-13,290.320007,291.040009,290.0,290.829987,287.838531,51034200,0
2018-09-14,291.059998,291.269989,290.0,290.880005,287.888,55079900,-1
2018-09-17,290.820007,290.859985,289.02999900000003,289.339996,286.363831,68244000,0
2018-09-18,289.579987,291.579987,289.549988,290.910004,287.917725,61930400,1
2018-09-19,290.97000099999997,291.690002,290.829987,291.22000099999997,288.224518,49080600,0
2018-09-20,292.640015,293.940002,291.23999,293.579987,290.560242,100360600,0
2018-09-21,293.089996,293.22000099999997,291.809998,291.98999,290.294769,105479700,-1
2018-09-24,291.339996,291.5,290.369995,291.019989,289.330414,53409600,0
2018-09-25,291.52999900000003,291.649994,290.480011,290.75,289.061981,44370000,0
2018-09-26,290.910004,292.23999,289.410004,289.880005,288.197052,79739700,0
2018-09-27,290.410004,291.910004,290.100006,290.690002,289.002319,59249500,1
2018-09-28,289.98999,291.27999900000003,289.950012,290.72000099999997,289.032166,70091400,0
2018-10-01,292.109985,292.929993,290.980011,291.730011,290.036316,62078900,0
2018-10-02,291.559998,292.359985,291.140015,291.559998,289.867279,47258200,0
2018-10-03,292.73999,293.209991,291.320007,291.72000099999997,290.026367,64694600,-1
2018-10-04,291.179993,291.23999,287.660004,289.440002,287.759583,111545900,0
2018-10-05,289.690002,290.269989,286.22000099999997,287.820007,286.14898700000003,105951700,0
2018-10-08,287.049988,288.22000099999997,285.5,287.820007,286.14898700000003,87742200,0
2018-10-09,287.390015,288.859985,286.769989,287.399994,285.73141499999997,74339000,0
2018-10-10,286.829987,286.910004,277.880005,278.299988,276.684265,214731000,0
2018-10-11,277.079987,278.899994,270.359985,272.170013,270.589874,274840500,0
2018-10-12,276.769989,277.089996,272.369995,275.950012,274.347931,183186500,0
2018-10-15,275.549988,277.040009,274.299988,274.399994,272.806915,102263700,1
2018-10-16,276.600006,280.820007,276.070007,280.399994,278.772064,118255800,0
2018-10-17,280.440002,281.149994,277.559998,280.450012,278.82180800000003,110626000,-1
2018-10-18,279.399994,280.070007,274.97000099999997,276.399994,274.79528799999997,134557500,0
2018-10-19,277.130005,279.299988,275.47000099999997,276.25,274.646179,139901600,0
2018-10-22,277.0,277.359985,274.410004,275.01001,273.413361,82415800,0
2018-10-23,270.950012,274.869995,268.609985,273.609985,272.021484,146352700,0
2018-10-24,273.329987,273.76001,264.700012,265.320007,263.779633,177806700,0
2018-10-25,267.380005,271.809998,266.230011,270.079987,268.511963,138061500,0
2018-10-26,265.920013,271.0,262.290009,265.329987,263.78955099999996,201574600,0
2018-10-29,268.799988,270.25,259.850006,263.859985,262.328094,160749100,0
2018-10-30,263.670013,268.119995,263.119995,267.769989,266.215393,157116000,1
2018-10-31,270.649994,273.230011,270.119995,270.630005,269.058807,128296300,0
2018-11-01,271.600006,273.730011,270.380005,273.51001,271.922089,99495000,-1
