"fechaSen","fechaEjec","accion","precioEjec","regla"
"2016-06-30","2016-07-01","Compra",46.1651239975,"IF Adj.Close.RSI.14 is (57.7,59.8] and Comm.Chan.20.0.015 is (12.6,38] THEN  is 1; (supportSize=2; laplace=0.75)"
"2016-08-10","2016-08-11","Venta por banda superior",47.825139495,"IF Comm.Chan.20.0.015 is (93.1, Inf] THEN  is -1; (supportSize=4; laplace=0.833333333333333)"
"2016-08-11","2016-08-12","Compra",48.290425,"IF MFI.14 is (62.7,65] THEN  is 1; (supportSize=3; laplace=0.8)"
"2016-09-12","2016-09-13","Venta por banda inferior",46.1742740025,"IF MFI.14 is (42.8,52.2] and Adj.Close.RSI.14 is [-Inf,43.9] THEN  is -1; (supportSize=1; laplace=0.666666666666667)"
"2016-09-13","2016-09-14","Compra",46.2202625,"IF MFI.14 is [-Inf,42.8] and Dif.Aroon.25 is [-Inf,-16] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2016-10-10","2016-10-11","Venta por banda superior",47.9199009975,"IF Comm.Chan.20.0.015 is (68.4,76.7] THEN  is -1; (supportSize=3; laplace=0.8)"
"2016-10-19","2016-10-20","Compra",48.4257625,"IF MFI.14 is (42.8,52.2] and Adj.Close.RSI.14 is (63.6,66.1] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2016-11-08","2016-11-09","Venta por banda inferior",46.85756299875,"IF Comm.Chan.20.0.015 is (68.4,76.7] THEN  is -1; (supportSize=3; laplace=0.8)"
